"Geno's Deli","1751 Scottsville Rd","Bowling Green"
"Joe's New York Pizza Pasta","1070 Palm Coast Pkwy Nw","Palm Coast"
"Verdile's","572 2nd Ave","Troy"
"Lil' Frankie's","19 First Ave","New City"
"Lil' Frankie's","19 First Ave","York"
"Lil' Frankie's","19 First Ave","New York"
"Calabria Restaurant","80 S Main St","New City"
"Calabria Restaurant","80 S Main St","York"
"Calabria Restaurant","80 S Main St","New York"
"North End Pizzeria","11628 Santa Monica Blvd","Los Angeles"
"Little Pizza Paradise","Cascade Village Mall Across From Target","Bend"
"Tutti Gusti","Harrisonburg Va","Harrisonburg"
"Davanti Enoteca - Little Italy","1655 India St","San Diego"
"Calabria Restaurant","80 S Main St","New City"
"Calabria Restaurant","80 S Main St","York"
"Calabria Restaurant","80 S Main St","New York"
"Jerry's Pizza & Subs","924 W 436","Altamonte Springs"
"Ciao Bella","1514 Us 41","Schererville"
"Tommy V's Osteria Pizzeria","3223 E Camelback Rd","Phoenix"
"Positano - Greensboro","2605 Lawndale Dr","Greensboro"
"Positano - Greensboro","2605 Lawndale Dr","Greensboro"
"Broad Street Cafe","562 Broad St","Newark"
"Kaydee Kats!","4109 N Prospect Rd","Peoria Heights"
"Famous Famiglia","757 Broadway","New City"
"Famous Famiglia","757 Broadway","York"
"Famous Famiglia","757 Broadway","New York"
"Good Fella's Pizza","9641 Olio Rd","Mc Cordsville"
"Joey D's Italian Grill","114 Pleasant St","Marblehead"
